(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0:03:42,1965
White Room,Cream,0:04:58,1968
Crossroads - Live,Cream,0:04:18,1968
All Along the Watchtower,Jimi Hendrix,0:04:00,1968
Proud Mary,Creedence Clearwater Revival,0:03:07,1969
Honky Tonk Woman - Live,The Rolling Stones,0:04:53,1969
American Woman,The Guess Who,0:05:07,1970
Roadhouse Blues,The Doors,0:04:03,1970
Get Back - Remastered 2009,The Beatles,0:03:09,1970
Brown Sugar - Remastered 2009,The Rolling Stones,0:03:48,1971
Rock and Roll - Remaster,Led Zeppelin,0:03:40,1971
Get It On,T. Rex,0:04:22,1971
La Grange (2005 Remaster),ZZ Top,0:03:50,1973
The Joker,Steve Miller Band,0:04:24,1973
Sweet Home Alabama,Lynyrd Skynyrd,0:04:43,1974
Tush (2006 Remaster),ZZ Top,0:02:13,1975
Walk This Way,Aerosmith,0:03:40,1975
Life in the Fast Lane - 2013 Remaster,Eagles,0:04:46,1976
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,0:05:01,1976
Dirty Deeds Done Dirt Cheap,AC/DC,0:03:51,1976
The Boys Are Back In Town,Thin Lizzy,0:04:26,1976
April Sun in Cuba,Dragon,0:03:27,1977
Heroes - 2017 Remaster,David Bowie,0:06:11,1977
Blue Lady,Hello Sailor,0:03:53,1977
Are You Old Enough,Dragon,0:04:08,1978
Just What I Needed,The Cars,0:03:45,1978
Good Times Roll,The Cars,0:03:45,1978
Be Mine Tonight,Th' Dudes,0:06:07,1979
Crazy Little Thing Called Love - Remastered 2011,Queen,0:02:43,1980
Bliss,Th' Dudes,0:04:59,1980
You Shook Me All Night Long,AC/DC,0:03:30,1980
Start Me Up - Remastered 2009,The Rolling Stones,0:03:33,1981
Centrefold(As Made Famous By J. Geils Band),The Karaoke Crew,0:03:55,1981
White Wedding - Pt. 1,Billy Idol,0:04:12,1982
Should I Stay or Should I Go - Remastered,The Clash,0:03:08,1982
Gimme All Your Lovin',ZZ Top,0:04:01,1983
Rebel Yell,Billy Idol,0:04:48,1983
Run To You,Bryan Adams,0:03:53,1984
Rain,Dragon,0:03:38,1984
Pride (In The Name Of Love) - Remastered 2009,U2,0:03:48,1984
Whaling,DD Smash,0:03:45,1984
Dancing In the Dark,Bruce Springsteen,0:04:01,1984
Jump - 2015 Remaster,Van Halen,0:04:01,1984
Addicted To Love,Robert Palmer,0:06:03,1985
Wanted Dead Or Alive,Bon Jovi,0:05:08,1986
Wild Flower,The Cult,0:03:37,1987
Sweet Child O' Mine,Guns N' Roses,0:05:56,1987
Love Removal Machine,The Cult,0:04:18,1987
Fire Woman,The Cult,0:05:07,1989
Free Fallin',Tom Petty,0:04:16,1989
Hard To Handle,The Black Crowes,0:03:08,1990
Come As You Are,Nirvana,0:03:38,1991
Mustang Sally,The Commitments,0:04:01,1991
Under the Bridge,Red Hot Chili Peppers,0:04:24,1991
Creep,Radiohead,0:03:58,1992
Why Does Love Do This To Me,The Exponents,0:03:25,1992
Who Loves Who The Most,The Exponents,0:04:15,1992
Are You Gonna Go My Way,Lenny Kravitz,0:03:31,1993
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,0:04:33,1993
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,0:03:14,1994
Say It Ain't So - Original Mix,Weezer,0:04:18,1994
Santa Monica,Everclear,0:03:11,1995
Santeria,Sublime,0:03:02,1996
Song 2 - 2012 Remaster,Blur,0:02:01,1997
Everlong,Foo Fighters,0:04:10,1997
Place Your Hands,Reef,0:03:38,1997
Hash Pipe,Weezer,0:03:06,2001
No One Knows,Queens of the Stone Age,0:04:38,2002
Like a Stone,Audioslave,0:04:53,2002
Are You Gonna Be My Girl,Jet,0:03:33,2003
Molly's Chambers,Kings of Leon,0:02:14,2003
Seven Nation Army,The White Stripes,0:03:52,2003
Slither,Velvet Revolver,0:04:08,2004
Dani California,Red Hot Chili Peppers,0:04:42,2006
Lonely Boy,The Black Keys,0:03:13,2011
